,Cluster_ID,Tree_ID,GATTUNGS_ID,ALGO_ID,x,y,z
0,548,102423,72,1,0.3984905660369158,0.3916981131916151,0.060377358490566004
1,548,102423,72,1,0.41006289308146815,0.39144654087019415,0.01056603773584901
2,548,102423,72,1,0.41031446540874644,0.38691823899089917,0.07069182389937104
3,548,102423,72,1,0.41006289308146815,0.38238993711160413,0.04779874213836474
4,548,102423,72,1,0.4108176100633031,0.39194968553646553,0.0880503144654088
5,548,102423,72,1,0.4193710691819799,0.3622641509293385,0.04905660377358489
6,548,102423,72,1,0.42062893081690717,0.39018867923965994,0.013584905660377337
7,548,102423,72,1,0.4211320754714638,0.38238993711160413,0.045283018867924546
8,548,102423,72,1,0.42062893081690717,0.37509433960296074,0.07320754716981133
9,548,102423,72,1,0.4201257861638149,0.3698113207594029,0.05886792452830188
10,548,102423,72,1,0.42062893081690717,0.3861635220032068,0.06792452830188678
11,548,102423,72,1,0.42062893081690717,0.3816352201239118,0.008805031446540827
12,548,102423,72,1,0.4294339622643267,0.3620125786079176,0.045786163522012584
13,548,102423,72,1,0.43119496855381056,0.387672955955162,0.05811320754716978
14,548,102423,72,1,0.4322012578614595,0.38792452830001245,0.09408805031446536
15,548,102423,72,1,0.4316981132069029,0.38289308175444603,0.08050314465408803
16,548,102423,72,1,0.4301886792446973,0.3693081760931315,0.05283018867924523
17,548,102423,72,1,0.4301886792446973,0.3768553458997663,0.06012578616352203
18,548,102423,72,1,0.4304402515719756,0.37861635219657197,0.012830188679245232
19,548,102423,72,1,0.43144654087962453,0.3894339622519676,0.009559748427672932
20,548,102423,72,1,0.4397484276724874,0.35672955974093024,0.008301886792452787
21,548,102423,72,1,0.44201257861652793,0.3793710691842643,0.03647798742138363
22,548,102423,72,1,0.4435220125787335,0.3854088050155145,0.05761006289308174
23,548,102423,72,1,0.4415094339619713,0.37358490565100555,0.06188679245283021
24,548,102423,72,1,0.42893081760977003,0.3710691823899371,0.007547169811320773
25,548,102423,72,1,0.4407547169801363,0.36855345910543913,0.04704402515723264
26,548,102423,72,1,0.44050314465432233,0.3660377358443707,0.012578616352201259
